(Synset(part.n.03), [140, 1])
(Synset(worker.n.01), [128, 1])
(Synset(touch.v.01), [126, 1])
(Synset(commodity.n.01), [122, 1])
(Synset(cause_to_be_perceived.v.01), [120, 1])
(Synset(attach.v.01), [112, 1])
(Synset(change_state.v.01), [107, 1])
(Synset(change_integrity.v.01), [105, 1])
(Synset(better.v.02), [102, 1])
(Synset(organization.n.01), [99, 1])
(Synset(shape.n.02), [99, 1])
(Synset(agree.v.01), [92, 1])
(Synset(end.v.02), [90, 1])
(Synset(clothing.n.01), [90, 1])
(Synset(speech_act.n.01), [88, 1])
(Synset(equipment.n.01), [87, 1])
(Synset(control.v.02), [85, 1])
(Synset(covering.n.02), [76, 1])
(Synset(adult.n.01), [74, 1])
(Synset(get_the_better_of.v.01), [72, 1])
(Synset(state.v.01), [72, 1])
(Synset(capture.v.06), [71, 1])
(Synset(create_from_raw_material.v.01), [69, 1])
(Synset(trait.n.01), [68, 1])
(Synset(utter.v.02), [68, 1])
(Synset(physical_phenomenon.n.01), [65, 1])
(Synset(work.n.01), [65, 1])
(Synset(phenomenon.n.01), [62, 1])
(Synset(cause.v.01), [62, 1])
(Synset(ability.n.02), [61, 1])
(Synset(propel.v.01), [58, 1])
(Synset(time_period.n.01), [57, 1])
(Synset(garment.n.01), [56, 1])
(Synset(collection.n.01), [56, 1])
(Synset(area.n.05), [53, 1])
(Synset(building.n.01), [51, 1])
(Synset(chemical_element.n.01), [51, 1])
(Synset(reason.v.03), [50, 1])
(Synset(conveyance.n.03), [50, 1])
(Synset(seize.v.01), [50, 1])
(Synset(enter.v.01), [49, 1])
(Synset(use.v.01), [49, 1])
(Synset(game.n.01), [48, 1])
(Synset(equal.v.01), [44, 1])
(Synset(decrease.v.02), [44, 1])
(Synset(compound.n.02), [42, 1])
(Synset(motion.n.03), [42, 1])
(Synset(geographical_area.n.01), [42, 1])
(Synset(integer.n.01), [41, 1])
(Synset(bad_person.n.01), [41, 1])
(Synset(run.v.06), [40, 1])
(Synset(permit.v.01), [40, 1])
(Synset(misinform.v.01), [40, 1])
(Synset(concept.n.01), [40, 1])
(Synset(evidence.n.01), [39, 1])
(Synset(unpleasant_person.n.01), [39, 1])
(Synset(talk_of.v.01), [39, 1])
(Synset(termination.n.05), [39, 1])
(Synset(creator.n.02), [38, 1])
(Synset(induce.v.02), [38, 1])
(Synset(declare.v.04), [38, 1])
(Synset(affect.v.01), [37, 1])
(Synset(organic_process.n.01), [37, 1])
(Synset(woody_plant.n.01), [36, 1])
(Synset(choose.v.01), [36, 1])
(Synset(relative.n.01), [36, 1])
(Synset(treat.v.01), [35, 1])
(Synset(leader.n.01), [34, 1])
(Synset(exhaust.v.05), [34, 1])
(Synset(restraint.n.06), [34, 1])
(Synset(affect.v.05), [33, 1])
(Synset(professional.n.01), [33, 1])
(Synset(push.v.01), [33, 1])
(Synset(weapon.n.01), [33, 1])
(Synset(happen.v.01), [33, 1])
(Synset(hurt.v.02), [33, 1])
(Synset(guide.v.05), [32, 1])
(Synset(mechanical_device.n.01), [32, 1])
(Synset(spend.v.02), [32, 1])
(Synset(approval.n.04), [32, 1])
(Synset(thinking.n.01), [32, 1])
(Synset(decoration.n.01), [31, 1])
